name,language,phoneNumber
Jennifer_Carpenter,Assamese,9685682513
Heather_Norman,Hausa,019-489-7603x48235
Dr._Angela_Werner_MD,Sango,001-463-583-3096
Amanda_Carter,Chechen,825.510.0138x5641
Beverly_Horn,Malay,(235)846-7307x081
Dr._Anthony_Henderson_Jr.,Rundi,641-931-3396
Christian_Moss,Bambara,+1-989-383-9381x0933
Leah_Greene,South Ndebele,768-127-7736x7519
Duane_Cortez,Afrikaans,806-261-1256x9514
Blake_Ray,Assamese,940-798-0146x170
Keith_Fuller,Ganda,305.372.8381x63956
Jennifer_Copeland,Arabic,(286)917-6594
Nicole_Thompson,Limburgan,646.996.3423
Alec_Johnson,Xhosa,(367)442-7003x0888
Emily_Knight,Irish,(723)098-1035x4317
Victoria_Williams,Afrikaans,001-328-039-5591x1831
David_Yang,Sango,(442)422-2260
Tammy_Kelly,Vietnamese,722.418.9744
Kristy_Carter,Uzbek,+1-627-755-2140
John_Perez,Ewe,141.879.6145x921
Steven_Oconnor,French,+1-857-250-9674
Alan_Garcia,Kanuri,(079)053-6427x8087
Vanessa_Snow,Turkmen,(779)824-1902x8855
Jimmy_Lopez,Nepali,221.551.5193
Courtney_Holt,Sinhala,+1-249-251-1613
Bethany_Whitehead,Interlingue,(304)375-2835x0497
Austin_Herrera,Samoan,557-471-4098x6653
Andrea_Anderson,Komi,144.492.1806x568
Joseph_Wilson,Icelandic,3400291142
Samantha_Hansen,Persian,649-881-4727
Michelle_Diaz,Icelandic,406.268.7026
Ashley_Jackson,Tibetan,001-319-473-0236x3276
Brittany_Pierce,Croatian,924-363-3763
Patrick_Short,Norwegian Nynorsk,6759891096
Shirley_Smith,Sindhi,+1-091-856-5702x659
Brad_Walter,Mongolian,132.917.2569x94747
Jason_Krueger,Japanese,001-759-794-1014
Mariah_Morton,Slovak,390-726-0244
John_Vasquez,Vietnamese,687-965-9851
Laura_Lee,Swati,001-352-243-7490x66730
Adam_Lawson,Oriya,(699)262-7659x413
Leslie_Williamson,Norwegian Nynorsk,019.663.9223
Mrs._Elizabeth_Hatfield_DVM,Lithuanian,968-066-4789x937
Steven_Parsons,Northern Sami,+1-258-150-8250x2031
James_Herrera_MD,Dutch,474.465.2614x91792
Tracy_Pearson,Church Slavic,2927565478
Lynn_Neal,Marathi,780.441.1512x899
Joshua_Moran,Divehi,+1-141-830-4182x24396
Brandy_Harvey,Telugu,(271)447-1303x414
Jennifer_Howell,"Sotho, Southern",+1-606-973-6484x732
Rhonda_Martinez,Gujarati,+1-946-966-6232x8039
Ricardo_Green,Malay,+1-714-409-3480x263
Craig_Campbell,Tatar,7858461417
Julia_Roman,Oriya,7890495976
Robert_Pitts,Faroese,(113)335-9621x0136
Bobby_Mclean,Western Frisian,001-868-538-5691x85629
Devon_Torres,Interlingue,001-602-999-2606x425
Stephanie_Travis,Turkmen,001-259-361-5447x0186
Bonnie_Ramirez,Haitian,(395)057-4145
Joshua_Paul,Norwegian Nynorsk,755.843.4683x90677
Joel_Juarez,Church Slavic,782-085-4657x377
Eric_Martin,Cree,001-707-971-2521x75347
Charlotte_White,Chinese,+1-034-390-0123x4982
Brian_Moore,Slovenian,(844)137-2213x415
Kari_Perez,Kuanyama,386.871.1334
Stephanie_Harris,Italian,(170)526-0518x146
Jennifer_Fowler,Kanuri,138.622.8282
Rodney_Manning,Georgian,(175)641-7530x652
Tara_Mccarthy,Tsonga,001-486-727-1618x916
Christopher_Nunez,Georgian,778.944.3193
Daniel_Reynolds,Kashmiri,187.369.5268x37916
Micheal_Horton,Basque,632.514.4669x821
Kenneth_Cabrera,Afrikaans,795-776-2152x81638
Misty_Ruiz,Indonesian,001-362-450-6869x5767
Bobby_Cook,Igbo,+1-356-685-7615
Christina_Conrad,Kongo,7717242860
Matthew_Quinn,Amharic,(781)811-9253x400
Katie_Martinez,Twi,9976757257
Katherine_Hall,Welsh,918.102.4862x235
Sarah_Hart,Slovenian,345-334-9625x424
Katherine_Ellis,Luxembourgish,+1-320-103-0433
Kyle_Thomas,Latvian,(163)849-5299x84544
Melissa_Mayer,Yiddish,328.599.7631x357
Brandon_Shaw,Walloon,804.590.7763
Susan_Lee,Tajik,071.575.3968
Patrick_Phillips,English,708.178.1312
Timothy_Rogers,Limburgan,(560)296-5375x442
Cynthia_Vasquez,Mongolian,001-065-098-4492x407
Craig_Parker,Turkmen,(430)401-6814x0674
Kayla_Page,Azerbaijani,001-177-640-2226x055
Jesus_Cummings,Maori,001-518-135-5905
Catherine_Jones,Hungarian,866.371.6620x535
Kelly_Joyce,French,(330)675-2860x197
Jason_Fuller,Pushto,537.359.8522
Mark_Young,Lao,+1-301-826-4491x00311
Gregg_Torres,Walloon,148.713.8356x761
Miranda_Mccoy,Galician,(098)172-9560x24352
Jesus_Fletcher,Javanese,(541)617-3340x173
Jennifer_Casey,Tonga,(460)918-2779x52914
Kelly_Green,Estonian,+1-593-461-9832x1363
Douglas_Daugherty,Interlingue,(820)679-9865
Jamie_Saunders,Walloon,+1-012-651-8092x6689
Cindy_Cohen,Telugu,578-474-8157x704
Elizabeth_Fields,Yoruba,(975)182-0367
Traci_Herrera,Afrikaans,347-982-5617x33942
Stanley_Ross,Azerbaijani,046-502-4197x842
Carolyn_Hopkins,Tswana,+1-851-824-5595x14613
Julia_Johnson,Dzongkha,4222768150
Jacob_Bell,Welsh,(164)525-1686
Melanie_Brown_MD,Sinhala,(476)529-3200
Jeffrey_Cole,Kirghiz,001-478-133-0655x7784
Diana_Williams,Tamil,(758)710-9378
Bobby_Jones_Jr.,Hungarian,+1-469-164-4897x59555
Kevin_Brown,Kashmiri,001-941-493-1141
Jennifer_Short,Wolof,+1-206-497-0283
Andrea_Reyes,Sundanese,+1-394-455-8855
Tracey_Phelps,Kashmiri,8604098620
Sandra_Weaver,Kalaallisut,+1-329-339-7765x524
Katie_Hurst,Tonga,001-036-111-4353x88890
Bradley_Boyd,Sango,(443)853-3224
Andrew_Watts,Malay,(009)103-0521x32837
Alexandra_Scott,Arabic,377-418-4341x005
Karl_Guerrero,Afrikaans,+1-555-144-7401x994
Cameron_Holmes,Yoruba,(869)516-5351
Brooke_Velazquez,Somali,+1-115-081-8806x430
Lori_Wood,Manx,997.302.9329x14317
Francisco_Mayo,Zulu,873.883.6132
Andrew_Jackson,Rundi,001-751-295-8247
Kelsey_Ayala,Tatar,5750736733
Greg_Singh,Kongo,001-503-722-7247x87171
James_Dickson,Occitan,8040795636
Laura_Vaughn,Esperanto,658.068.2897
Michael_Taylor,Basque,001-873-808-0534x88727
Joshua_Walker,Sichuan Yi,9615182610
Dorothy_Hart,Kazakh,288-796-6292
Christopher_Montes,South Ndebele,+1-119-142-5767x160
James_Calderon,Luba-Katanga,+1-723-090-7508x4870
Ronnie_Sullivan,Lithuanian,406-063-8513
Kevin_Hogan,Javanese,001-570-672-6530
Virginia_Beasley,Latvian,+1-546-875-7934
Tara_Simon,Malay,001-769-159-7401
Amy_Garza,Walloon,205-301-4369x622
Omar_Johnston,Marshallese,(889)682-8100
John_Owens,Church Slavic,+1-319-928-7261
Timothy_Wilson,Akan,0099999792
Jason_Gonzalez,Dutch,843.627.4864
Bonnie_Sanchez,Twi,252-268-2861
John_Sims,Telugu,(898)001-6226
Ariana_Baker,Cornish,+1-912-493-7751x53915
Antonio_Munoz,Guarani,523.932.4315
Dawn_Lester,Luxembourgish,085-781-5276x721
Holly_Ramos,Burmese,(642)791-8494x97870
Victor_Mejia,Gaelic,001-580-097-6195x2083
Susan_Anderson,Sindhi,+1-985-433-1794x54505
Travis_Barr,Albanian,(233)062-0654x1869
Kyle_Mcmahon,Samoan,5232253617
Daniel_Cross,Serbian,275.573.5419
Ashley_Melton,Ido,001-173-265-5179
Jeremy_Moore_DVM,Abkhazian,(206)097-0316
Krystal_Francis,Sindhi,001-886-443-6230x635
Nicholas_Burton,Hindi,001-930-593-4563x875
Wendy_Kim,Belarusian,001-340-641-7570x2880
Daniel_Cannon,Occitan,(073)088-3769x0071
Brad_Wilson,Latin,489.460.5671
Chad_Singh,Nauru,767-924-6689
Kevin_Andrews,Bashkir,917-077-4500x618
Andrea_Medina,Kinyarwanda,+1-093-839-1040x0488
Anna_Kim,Corsican,065-653-6371
Caitlin_Wilcox,Malayalam,(925)376-8874
Nathaniel_Kennedy,Albanian,+1-706-334-4542
John_Schmidt,Indonesian,001-375-798-9007x540
Alexis_Parker,Uzbek,792-108-6272x184
Haley_Garcia,Sinhala,5488865438
James_Petersen,Chinese,+1-947-292-3504
Martha_Boyd,Luba-Katanga,(040)601-3547x5107
John_Gonzalez,Panjabi,543.808.4005
Brian_Flores,Belarusian,217-919-6962
Alexis_Brown,Serbian,+1-754-147-5008
Shane_Ruiz,Afrikaans,2049468283
Michelle_King,Amharic,+1-287-562-7702
Samantha_Daniels,Arabic,068.796.6028x1557
Brandi_Hansen,Faroese,+1-890-056-2015
Sophia_Pennington,Lao,(156)639-5282
Jeremy_King,Vietnamese,453-912-1274x251
Mrs._Cindy_Dennis,Interlingue,+1-709-705-7872
David_Weber,Igbo,910.442.4636x49754
Theodore_Charles,Tonga,001-975-126-1647x4614
George_Black,Navajo,(920)354-6389x496
Beverly_Dominguez,Sichuan Yi,167-118-8882x9076
Ryan_Black,Tigrinya,+1-159-904-2138x4183
Zachary_Cohen,Polish,001-026-176-8157x5061
David_Guzman,Gujarati,(523)651-8365
Kent_Duncan,Bosnian,001-760-019-3184
Charles_Hudson,Dutch,314-920-8040x9892
Linda_Carr,Navajo,+1-185-734-9584x9245
Jason_Smith_DDS,Aymara,740-873-8353
Monique_Nelson,Yoruba,(447)444-2295x7973
Natalie_West,Armenian,144.942.6682x838
James_Hunt,Telugu,+1-407-894-9228x285
Jason_Evans,Cornish,001-134-744-2518
Jessica_Henderson,Japanese,508.627.8961
Phillip_Mcmahon,Church Slavic,(954)910-0066x1733
Toni_Acosta,Finnish,001-354-115-4789x7633
Peter_Reynolds,Irish,(029)012-2025
Austin_Haas,Venda,+1-341-049-6190x806
Susan_Nixon,Bislama,791-340-5739
Robin_Mullins,Kanuri,+1-021-926-5622x79241
Dr._Larry_Rodriguez,Telugu,024-668-3620x26453
Peter_Meza,Sanskrit,(727)485-8324
Amber_Ray,Akan,001-302-247-6788x00291
Ryan_Bailey,Bengali,303.266.1021x62719
Molly_Hardin,Chamorro,869-681-9754x61413
Brianna_Chen,Norwegian,(649)901-8406
Joshua_Huff,Bihari languages,001-671-050-3340x49047
Timothy_Fisher,Bulgarian,(701)272-7370x52062
Jason_Buck,Yiddish,561-830-6999x02075
Bernard_Madden,Gujarati,880.189.6267x35161
Teresa_Page,Shona,803-874-5235x0615
Joshua_Cameron,Kongo,(577)932-4357
Patrick_Aguilar,Avaric,+1-677-658-2760
Elizabeth_Davis,Zhuang,(328)430-5861x47419
Lydia_Henry,Icelandic,069.522.5130x0629
Danny_Lewis,Zulu,278-372-1349x1742
Alan_Wiley,Swati,967-403-6701x9366
Samantha_Jackson,Central Khmer,(256)937-0323x053
Daniel_Woods,Abkhazian,5054908367
Mark_Benjamin,South Ndebele,+1-124-272-1390x209
Taylor_Mccall,Belarusian,3449025932
Erika_Campbell,Lithuanian,+1-487-327-1504x805
Steven_Wheeler,Ganda,(749)716-6627
Madison_Garcia,Arabic,0055745854
Andrea_Wells,Bashkir,561-795-0344x525
Mark_Cox,Bosnian,001-812-219-8702x882
Anthony_Perry,Chichewa,815-451-1850x778
Mr._Scott_Steele,Malayalam,072.134.7974x602
Tony_Barton,Inuktitut,(883)064-1464
Courtney_Gomez,Tonga,001-551-937-7261
Christopher_Stevens,Telugu,(769)727-2991
Daniel_Norman,Venda,(310)342-1033x9133
Jennifer_Walker,Walloon,001-661-753-6023x8197
Lucas_Stephens,Bosnian,001-334-470-0163
Tara_Flowers,Central Khmer,001-374-765-8227x03111
Donald_Bond,Tamil,198.971.5250
Brenda_Walker_MD,Akan,+1-978-867-7560x537
Rachel_Stevens,Azerbaijani,+1-956-633-7002x02960
Barbara_Rollins,Gaelic,(772)058-4198
Kenneth_Brady,Albanian,049-855-0480x4369
Sherry_Farmer,Guarani,564.505.2739x69617
Teresa_Braun,Akan,(939)293-7591x9346
Shane_Hernandez,Interlingue,(833)707-4706x28997
Kenneth_Horton,Finnish,(617)920-9145x935
Adam_Ramirez,Luxembourgish,784-226-4399
Marcia_Craig,Afar,464.290.6237x014
Sherri_Velazquez,Afar,381-062-1623x08457
Matthew_Reed,Ganda,412.373.7720x8154
Kenneth_Matthews,Telugu,109-851-6763
Steven_Ochoa,Mongolian,771.632.7007x7863
Carol_Castro,Fulah,+1-064-814-5036
Rebecca_Stone,Belarusian,+1-029-908-4149x038
Russell_Long,German,+1-722-275-4807x191
Gabrielle_Johnson,"Sotho, Southern",677-077-7638x119
Angel_Mathis,Church Slavic,974-871-4700x1583
Casey_Thornton,Ndonga,+1-220-587-8199x1103
Kristin_Oliver,Sindhi,498-126-8075x11941
Michael_Frye,Tonga,023.830.7472x117
Dennis_Powell,Norwegian Nynorsk,877.046.1399x26235
Hector_Wilkinson,Luxembourgish,001-772-886-6861
Mark_Walker,Uighur,001-901-722-0900
Lucas_Hodges,Sindhi,+1-481-376-4304
Michelle_Hunt,Xhosa,(851)141-3600x082
Laura_Chase,Dzongkha,+1-672-917-1112x28984
Renee_Jones,Tamil,(549)624-0490
Jeremy_Barnes,Walloon,(035)797-8530
Joseph_Carr,Arabic,001-149-839-0643x674
Malik_Watson,Tibetan,+1-312-849-1571x785
Steven_Simpson,Tagalog,+1-170-917-4963x466
Colton_Valencia,Hausa,001-809-815-8328x071
Heather_Moore,Kannada,(683)648-6279x60358
Robert_Haynes,Hebrew,(755)074-0770x352
David_Warren,Bambara,718-025-8670
William_Romero,Norwegian Nynorsk,472-600-1809
Robert_Smith,Tajik,685.568.4417x594
John_Pugh,Inupiaq,440.772.3374
Robert_Zamora,Bashkir,442-549-5944x3850
Robin_Bell,Fijian,498-187-3182x70383
Tracy_Meyer,Sango,086.846.4142x0878
Anne_Ford,Wolof,845.649.9326x8964
Ryan_Thomas,Tamil,873.899.7552x14172
Paul_Bailey,Bambara,(001)166-2293
Mr._Adam_Jenkins,Interlingua,080.381.0099x27040
Michael_Lin,Yiddish,8988971348
Katherine_Olson,Greek,719.012.2256x4361
Thomas_Jordan,Twi,+1-131-606-5273x6685
Kirk_Lopez,Hausa,663-655-9013x84908
Tina_Green,Malagasy,202.056.6715x9186
Alan_Hernandez,Afar,001-883-801-6080x983
Dana_Barker,Abkhazian,001-750-416-0785x76125
Christine_Christensen,Tswana,913.186.2241
Grant_Cook,Sundanese,8727076048
Rachel_Harmon,Marathi,9199604442
Lauren_Moreno,Abkhazian,001-784-301-4001x5601
Eileen_Bradley,Akan,+1-668-146-3063
Curtis_Gordon,Ido,+1-114-941-8874x40702
Meghan_Rodriguez,Rundi,+1-683-645-2698x84581
Mr._Robert_Stewart,Armenian,001-140-578-8034x8760
Darren_Goodman,Arabic,001-017-955-3598x36086
Leah_Jackson,North Ndebele,001-530-466-4137x39297
Bonnie_Perez,Esperanto,+1-910-675-6831x991
Keith_Potter,Portuguese,1012402729
Victoria_Wade,Slovak,001-663-757-1179x3845
Mark_Cruz,Malagasy,991-305-7125x5443
Derrick_Johnson,Estonian,132-933-8631x74616
Mrs._Tammy_Jones,Georgian,0782514084
Derek_Lane,Guarani,665.466.4570
Tanya_Thomas,Indonesian,001-019-734-9153x1682
Kristine_Morrow,Serbian,(115)102-6840x78819
Angela_Morrow,Bengali,+1-783-040-5969x54931
Patricia_Freeman,Sardinian,(928)630-5930
Jenny_Meyer,Kanuri,339-758-2695
Ricardo_Sharp,Norwegian Nynorsk,310-558-1368
Carlos_Hensley,Bislama,722.468.7020
Willie_Perry,Estonian,513.339.1136x3972
Tyler_Thomas,Kurdish,001-899-709-0661x02962
Frederick_Alvarado,Romanian,(257)031-1461x505
Stacey_Randolph,Czech,688-629-4258x83446
Adam_Lawrence,Interlingua,(929)120-6250x197
Mr._Patrick_Casey,Sanskrit,2671741215
Timothy_Gay,Bambara,913.968.4621x421
Ashley_Hutchinson,Corsican,(179)852-5830x0782
James_Hill,Panjabi,490-042-6581
Mrs._Jill_Robinson,Cornish,462.023.6681
Brenda_Daniels,Maltese,(829)535-5196x68887
Timothy_King,Swedish,390-173-5221x77981
Frank_Martin,Turkmen,+1-076-519-3187x66991
Nathan_Sharp,Cornish,+1-004-770-4751x8037
Rachel_Bowen,Igbo,572.123.5999
Ashley_Pratt,Hindi,239-949-2988x30117
Diana_Jones,Swati,514-634-1031x051
